GENE	293A_WT_T22_AB_XF498	293A_LKB1_T22_AB	293A_PTEN_T22_AB	293A_VHL_T22_AB	293A_BAP1NUMBER2_16_T25_AB	293A_CDH1NUMBER2_15_T24_AB	293A_NF2NUMBER2_3_T24_AB	293A_WT_T21_AB_XF646	293A_PBRM1_T25_AB	293A_SETD2_T24_AB	293A_WT_T20_AB_XF804	293A_ARID1A_T21_AB	293A_NF1_T24_AB	293A_RB1_T21_AB	293A_TP53_T21_AB	293A_WT_T21_AB_XF821	293A_KEAP1_T22_AB	293A_g53BP1#1_T22_AB
MRPL37	24.879	11.855	33.191	20.646	29.851	20.389	10.375	20.474	22.186	17.439	22.921	25.96	14.613	18.090999999999998	16.218	20.463	22.055999999999997	20.145
MRPL38	46.195	30.338	44.097	15.87	35.059	25.182	27.331	36.899	35.548	34.491	28.594	33.692	29.116	41.681000000000004	15.536	38.082	34.082	35.531
MRPL39	24.053	11.509	12.243	8.887	24.26	22.449	7.978	25.361	20.000999999999998	22.064	13.119000000000002	26.015	7.952000000000001	24.665	17.848	7.9	13.208	18.625
MRPL4	13.067	19.637	24.613000000000003	-0.045	9.736	17.648	3.283	20.776999999999997	18.524	16.041	19.191	22.296999999999997	17.722	3.987	7.641	1.915	20.051	10.244000000000002
MRPL40	-7.17	2.268	0.971	2.5780000000000003	4.711	12.427	6.291	-4.829	3.765	-2.661	-4.959	-4.814	6.446000000000001	7.398	6.086	15.43	6.607	14.806
MRPL41	42.552	37.479	38.668	36.679	38.821	28.515	24.743000000000002	50.206	33.6	36.704	44.607	34.722	34.667	38.611	37.832	52.221000000000004	35.098	28.5
MRPL42	12.659	13.468	15.107	14.415	10.402000000000001	7.606	8.171	12.415999999999999	9.068	-11.004000000000001	15.319	9.987	7.636	14.147	7.2620000000000005	-0.982	20.142	12.725
MRPL43	13.057	10.025	14.425999999999998	7.557	9.227	7.688	4.227	14.215	8.859	3.426	8.385	6.162999999999999	4.351	9.388	8.383	6.343999999999999	13.994000000000002	1.732
MRPL44	47.514	35.704	51.249	34.065	33.209	22.565	31.029	36.653	32.559	34.585	36.256	31.381	30.691	35.518	34.086	22.256	34.828	42.4
MRPL45	39.169	32.369	38.269	13.345	25.194000000000003	31.590999999999998	17.652	37.621	33.023	35.808	38.93	48.903	18.49	38.539	20.879	30.927	37.284	27.657
MRPL46	1.285	1.88	4.4430000000000005	0.982	-3.719	-2.138	6.754	7.119	-2.938	0.61	-1.9480000000000002	6.011	-9.896	-3.995	-4.522	0.27399999999999997	-6.614	7.125
MRPL47	26.476	13.255999999999998	30.864	7.449	13.868	20.15	12.25	16.687	11.442	10.445	17.111	24.537	1.3430000000000002	12.505	4.156000000000001	2.648	17.797	15.018
